PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
encounterid,PEDSnet,visit_occurrence,V,visit_occurrence_id,,
patid,PEDSnet,visit_occurrence,V,person_id,,
admit_date,PEDSnet,visit_occurrence,V,visit_start_date,,
admit_time,PEDSnet,visit_occurrence,V,visit_start_time,,
discharge_date,PEDSnet,visit_occurrence,V,visit_end_date,,
discharge_time,PEDSnet,visit_occurrence,V,visit_end_time,,
providerid,PEDSnet,visit_occurrence,V,provider_id,,
facility_location,PEDSnet,location,L,zip,left join dcc_pedsnet.location l on c.location_id = l.location_id,"(l.zip, 3)"
enc_type,PEDSnet,visit_occurrence,V,visit_concept_id,,
facilityid,PEDSnet,visit_occurrence,V,care_site_id,,
discharge_disposition,PEDSnet,visit_occurrence,V,discharge_to_concept_id,,
discharge_status,PEDSnet,observation,O,value_as_concept_id,,where observation_concept_id = 44813951
drg,PEDSnet,observation,O,value_as_concept_id,value_as_string inselect concept_code from vocabulary.concept where invalid_reason is null and concept_class_id = 'MS-DRG' and vocabulary_id='DRG' ,where observation_concept_id = 3040464
drg_type,PEDSnet,observation,O,value_as_concept_id,case when visit_start_date<'2007-10-01' then '01' else '02' end as drg_type,
admitting_source,PEDSnet,visit_occurrence,V,admitting_source_concept_id,,
raw_siteid,,,,,,
raw_enc_type,PEDSnet,visit_occurrence,V,visit_source_value,,
raw_discharge_disposition,PEDSnet,visit_occurrence,V,discharge_to_source_value,,
raw_discharge_status,PEDSnet,observation,O,observation_source_value,,
raw_drg_type,,,,,,null
raw_admitting_source,PEDSnet,visit_occurrence,V,visit_source_value,,
