class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name
Dose unit,%,percent,8554,percent
Dose unit,cm,centimeter,8582,centimeter
Dose unit,g,gram,8504,gram
Dose unit,g/hr,gram per hour,44777594,gram per hour
Dose unit,g/kg,gram per kilogram,9512,gram per kilogram
Dose unit,g/m2,gram per square meter,9513,gram per square meter
Dose unit,/[IU],per international unit,,
Dose unit,/[IU]/mL,per international unit per milliliter,,
Dose unit,meq,milliequivalent,9551,milliequivalent
Dose unit,meq/kg,milliequivalent per kilogram,9556,milliequivalent per kilogram
Dose unit,meq/kg/h,milliequivalent per kilogram per hour,,
Dose unit,mg,milligram,8576,milligram
Dose unit,mg/h,milligram per hour,44777610,milligram per hour
Dose unit,mg/kg,milligram per kilogram,9562,milligram per kilogram
Dose unit,mg/kg/d,milligram per kilogram per day,,
Dose unit,mg/kg/h,milligram per kilogram per hour,9691,milligram per kilogram per hour
Dose unit,mg/kg/min,milligram per kilogram per minute,9692,milligram per kilogram per minute
Dose unit,mg/m2,milligram per square meter,9563,milligram per square meter
Dose unit,mg/mL,milligram per milliliter,8861,milligram per milliliter
Dose unit,10*6.[IU],million international unit,,
Dose unit,mL,milliliter,8587,milliliter
Dose unit,mL/h,milliliter per hour,44777613,milliliter per hour
Dose unit,mL/kg,milliliter per kilogram,9571,milliliter per kilogram
Dose unit,mL/kg/h,milliliter per kilogram per hour,,
Dose unit,mL/m2,milliliter per square meter,,
Dose unit,mmol,millimole,9573,millimole
Dose unit,mmol/kg,millimole per kilogram,9577,millimole per kilogram
Dose unit,ng/kg/min,nanogram per kilogram per minute,,
Dose unit,[oz_av],ounce (US and British),,
Dose unit,[tbs_us],tablespoon (US),9412,tablespoon
Dose unit,[tsp_us],teaspoon (US),9416,teaspoon
Dose unit,ug,microgram,9655,microgram
Dose unit,ug/d,microgram per day,44777645,microgram per hour
Dose unit,ug/hr,microgram per hour,44777645,microgram per hour
Dose unit,ug/kg,microgram per kilogram,9662,microgram per kilogram
Dose unit,ug/kg/h,microgram per kilogram per hour,9690,microgram per kilogram per hour
Dose unit,ug/kg/min,microgram per kilogram per minute,,
Dose unit,ug/m2,microgram per square meter,9663,microgram per square meter
Dose unit,ug/min,microgram per minutes,8774,microgram per minute
Dose unit,[IU]/h,international unit per hour,9687,international unit per hour
Dose unit,[IU]/kg,international unit per kilogram,9335,international unit per kilogram
Dose unit,[IU]/kg/h,international unit per kilogram per hour,,
Dose unit,[IU]/min,international unit per minute,,
Dose unit,[IU]/mL,international unit per milliliter,8985,international unit per milliliter
Dose unit,NI,No information,44814650,
Dose unit,UN,Unknown,44814653,
Dose unit,OT,Other,44814649,
