concept_class,pcornet_code,pcornet_desc,pedsnet_concept_id,pedsnet_concept_name,pedsnet_value_as_concept_id
Language,AAR,Afar,,,
Language,ABK,Abkhazian,,,
Language,ACE,Achinese,,,
Language,ACH,Acoli,,,
Language,ADA,Adangme,,,
Language,ADY,Adyghe; Adygei,,,
Language,AFR,Afrikaans,,,
Language,AIN,Ainu,,,
Language,AKA,Akan,,,
Language,ALE,Aleut,,,
Language,ALT,Southern Altai,,,
Language,AMH,Amharic,4182354,Amharic language,
Language,ANP,Angika,,,
Language,ARA,Arabic,4181374,Arabic language,
Language,ARG,Aragonese,,,
Language,ARN,Mapudungun; Mapuche,,,
Language,ARP,Arapaho,,,
Language,ARW,Arawak,,,
Language,ASM,Assamese,,,
Language,AST,Asturian; Bable; Leonese; Asturleonese,,,
Language,AVA,Avaric,,,
Language,AWA,Awadhi,,,
Language,AYM,Aymara,,,
Language,AZE,Azerbaijani,,,
Language,BAK,Bashkir,,,
Language,BAL,Baluchi,,,
Language,BAM,Bambara,,,
Language,BAN,Balinese,,,
Language,BAS,Basa,,,
Language,BEJ,Beja; Bedawiyet,,,
Language,BEL,Belarusian,,,
Language,BEM,Bemba,,,
Language,BEN,Bengali,4052786,Bengali language,
Language,BHO,Bhojpuri,,,
Language,BIK,Bikol,,,
Language,BIN,Bini; Edo,,,
Language,BIS,Bislama,,,
Language,BLA,Siksika,,,
Language,BOD,Tibetan,,,
Language,BOS,Bosnian,40481563,Bosnian language,
Language,BRA,Braj,,,
Language,BRE,Breton,,,
Language,BUA,Buriat,,,
Language,BUG,Buginese,,,
Language,BUL,Bulgarian,,,
Language,BYN,Bilin; Blin,,,
Language,CAD,Caddo,,,
Language,CAR,Galibi Carib,,,
Language,CAT,Catalan; Valencian,,,
Language,CEB,Cebuano,,,
Language,CES,Czech,,,
Language,CHA,Chamorro,,,
Language,CHE,Chechen,,,
Language,CHK,Chuukese,,,
Language,CHM,Mari,,,
Language,CHN,Chinook jargon,,,
Language,CHO,Choctaw,,,
Language,CHP,Chipewyan; Dene Suline,,,
Language,CHR,Cherokee,,,
Language,CHV,Chuvash,,,
Language,CHY,Cheyenne,,,
Language,COR,Cornish,,,
Language,COS,Corsican,,,
Language,CRE,Cree,,,
Language,CRH,Crimean Tatar; Crimean Turkish,,,
Language,CSB,Kashubian,,,
Language,CYM,Welsh,,,
Language,DAK,Dakota,,,
Language,DAN,Danish,,,
Language,DAR,Dargwa,,,
Language,DEL,Delaware,,,
Language,DEN,Slave (Athapascan),,,
Language,DEU,German,,,
Language,DGR,Dogrib,,,
Language,DIN,Dinka,,,
Language,DIV,Dhivehi; Dhivehi; Maldivian,,,
Language,DOI,Dogri,,,
Language,DSB,Lower Sorbian,,,
Language,DUA,Duala,,,
Language,DYU,Dyula,,,
Language,DZO,Dzongkha,,,
Language,EFI,Efik,,,
Language,EKA,Ekajuk,,,
Language,ELL,Modern Greek (1453–),,,
Language,ENG,English,4180186,English Language,
Language,EST,Estonian,,,
Language,EUS,Basque,,,
Language,EWE,Ewe,,,
Language,EWO,Ewondo,,,
Language,FAN,Fang,,,
Language,FAO,Faroese,,,
Language,FAS,Persian,,,
Language,FAT,Fanti,,,
Language,FIJ,Fijian,,,
Language,FIL,Filipino; Pilipino,,,
Language,FIN,Finnish,,,
Language,FON,Fon,,,
Language,FRA,French,4180190,French Language,
Language,FRR,Northern Frisian,,,
Language,FRS,Eastern Frisian,,,
Language,FRY,Western Frisian,,,
Language,FUL,Fulah,,,
Language,FUR,Friulian,,,
Language,GAA,Ga,,,
Language,GAY,Gayo,,,
Language,GBA,Gbaya,,,
Language,GIL,Gilbertese,,,
