class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name,value_as_concept_id
Specimen source,BLD,,"unit, platelets",,
Specimen source,BLD,,white blood cells,,
Specimen source,BLD,,bone marrow (blood),,
Specimen source,BLD,,"pic catheter, blood",,
Specimen source,BLD,,cord blood.,,
Specimen source,BLD,,"dialysis/apheresis, blood",,
Specimen source,BLD,,central catheter,,
Specimen source,BLD,,"unit, red blood cells",,
Specimen source,BLD,,"ecmo circuit, blood",,
Specimen source,BLD,,catheter - femoral line,,
Specimen source,BLD,,"peripheral, blood",,
Specimen source,BLD,,dialysis/apheresis.,,
Specimen source,BLD,,catheter - central line,,
Specimen source,BLD,,"blood, capillary",,
Specimen source,BLD,,catheter - central venous,,
Specimen source,BLD,,"blood, pathology",,
Specimen source,BLD,,a-line,,
Specimen source,BLD,,"umbilical catheter arterial, blood",,
Specimen source,BLD,,line,,
Specimen source,BLD,,ecmo circuit blood.,,
Specimen source,BLD,,catheter umbilical venous,,
Specimen source,BLD,,"line, venous",,
Specimen source,BLD,,femoral catheter.,,
Specimen source,BLD,,proximal catheter-neck,,
Specimen source,BLD,,implanted port.,,
Specimen source,BLD,,blood-white lumen,,
Specimen source,BLD,,femoral middle cath,,
Specimen source,BLD,,blood for pcr testing,,
Specimen source,BLD,,venous,,
Specimen source,BLD,,middle catheter-neck,,
Specimen source,BLD,,blood (edta purple top),,
Specimen source,BLD,,blood-trough,,
Specimen source,BLD,,pic cath.,,
Specimen source,BLD,,"atrial catheter, blood",,
Specimen source,BLD,,mediport,,
Specimen source,BLD,,"umbilical catheter venous, blood ",,
Specimen source,BLD,,"blood, venous",,
Specimen source,BLD,,umbilical venous cath,,
Specimen source,BLD,,arterial catheter.,,
Specimen source,BLD,,blood-central line,,
Specimen source,BLD,,"non-tunneled cvc, blood",,
Specimen source,BLD,,blood,,
Specimen source,BLD,,"implanted port, blood",,
Specimen source,BLD,,"tunneled cvc, blood",,
Specimen source,BLD,,blood-red lumen,,
Specimen source,BLD,,umbilical vein,,
Specimen source,BLD,,"line, arterial",,
Specimen source,BLD,,blood-small lumen,,
Specimen source,BLD,,blood-other (indicate line site),,
Specimen source,BLD,,catheter umbilical arterial,,
Specimen source,BLD,,catheter a-line,,
Specimen source,BLD,,blood-peak,,
Specimen source,BLD,,blood-large lumen,,
Specimen source,BLD,,line         ,,
Specimen source,BLD,,atrial catheter.,,
Specimen source,BLD,,blood collection,,
Specimen source,BLD,,distal catheter-neck,,
Specimen source,BLD,,periph inserted central cath,,
Specimen source,BLD,,blood bag,,
Specimen source,BLD,,catheter cvp line,,
Specimen source,BLD,,umbilical,,
Specimen source,BLD,,catheter - red lumen,,
Specimen source,BLD,,broviac 2,,
Specimen source,BLD,,broviac,,
Specimen source,BLD,,catheter - white lumen,,
Specimen source,BLD,,blood-a line,,
Specimen source,BLD,,"arterial catheter, blood",,
