class,pcornet_code,pcornet_desc,pedsnet_code,pedsnet_name,value_as_concept_id
Language,AAR,Afar,,,null
Language,ABK,Abkhazian,,,null
Language,ACE,Achinese,,,null
Language,ACH,Acoli,,,null
Language,ADA,Adangme,,,null
Language,ADY,Adyghe; Adygei,,,null
Language,AFR,Afrikaans,,,null
Language,AIN,Ainu,,,null
Language,AKA,Akan,,,null
Language,ALE,Aleut,,,null
Language,ALT,Southern Altai,,,null
Language,AMH,Amharic,4182354,Amharic language,null
Language,ANP,Angika,,,null
Language,ARA,Arabic,4181374,Arabic language,null
Language,ARG,Aragonese,,,null
Language,ARN,Mapudungun; Mapuche,,,null
Language,ARP,Arapaho,,,null
Language,ARW,Arawak,,,null
Language,ASM,Assamese,,,null
Language,AST,Asturian; Bable; Leonese; Asturleonese,,,null
Language,AVA,Avaric,,,null
Language,AWA,Awadhi,,,null
Language,AYM,Aymara,,,null
Language,AZE,Azerbaijani,,,null
Language,BAK,Bashkir,,,null
Language,BAL,Baluchi,,,null
Language,BAM,Bambara,,,null
Language,BAN,Balinese,,,null
Language,BAS,Basa,,,null
Language,BEJ,Beja; Bedawiyet,,,null
Language,BEL,Belarusian,,,null
Language,BEM,Bemba,,,null
Language,BEN,Bengali,4052786,Bengali language,null
Language,BHO,Bhojpuri,,,null
Language,BIK,Bikol,,,null
Language,BIN,Bini; Edo,,,null
Language,BIS,Bislama,,,null
Language,BLA,Siksika,,,null
Language,BOD,Tibetan,,,null
Language,BOS,Bosnian,40481563,Bosnian language,null
Language,BRA,Braj,,,null
Language,BRE,Breton,,,null
Language,BUA,Buriat,,,null
Language,BUG,Buginese,,,null
Language,BUL,Bulgarian,,,null
Language,BYN,Bilin; Blin,,,null
Language,CAD,Caddo,,,null
Language,CAR,Galibi Carib,,,null
Language,CAT,Catalan; Valencian,,,null
Language,CEB,Cebuano,,,null
Language,CES,Czech,,,null
Language,CHA,Chamorro,,,null
Language,CHE,Chechen,,,null
Language,CHK,Chuukese,,,null
Language,CHM,Mari,,,null
Language,CHN,Chinook jargon,,,null
Language,CHO,Choctaw,,,null
Language,CHP,Chipewyan; Dene Suline,,,null
Language,CHR,Cherokee,,,null
Language,CHV,Chuvash,,,null
Language,CHY,Cheyenne,,,null
Language,COR,Cornish,,,null
Language,COS,Corsican,,,null
Language,CRE,Cree,,,null
Language,CRH,Crimean Tatar; Crimean Turkish,,,null
Language,CSB,Kashubian,,,null
Language,CYM,Welsh,,,null
Language,DAK,Dakota,,,null
Language,DAN,Danish,,,null
Language,DAR,Dargwa,,,null
Language,DEL,Delaware,,,null
Language,DEN,Slave (Athapascan),,,null
Language,DEU,German,,,null
Language,DGR,Dogrib,,,null
Language,DIN,Dinka,,,null
Language,DIV,Dhivehi; Dhivehi; Maldivian,,,null
Language,DOI,Dogri,,,null
Language,DSB,Lower Sorbian,,,null
Language,DUA,Duala,,,null
Language,DYU,Dyula,,,null
Language,DZO,Dzongkha,,,null
Language,EFI,Efik,,,null
Language,EKA,Ekajuk,,,null
Language,ELL,Modern Greek (1453–),,,null
Language,ENG,English,4180186,English Language,null
Language,EST,Estonian,,,null
Language,EUS,Basque,,,null
Language,EWE,Ewe,,,null
Language,EWO,Ewondo,,,null
Language,FAN,Fang,,,null
Language,FAO,Faroese,,,null
Language,FAS,Persian,,,null
Language,FAT,Fanti,,,null
Language,FIJ,Fijian,,,null
Language,FIL,Filipino; Pilipino,,,null
Language,FIN,Finnish,,,null
Language,FON,Fon,,,null
Language,FRA,French,4180190,French Language,null
Language,FRR,Northern Frisian,,,null
Language,FRS,Eastern Frisian,,,null
Language,FRY,Western Frisian,,,null
Language,FUL,Fulah,,,null
Language,FUR,Friulian,,,null
Language,GAA,Ga,,,null
Language,GAY,Gayo,,,null
Language,GBA,Gbaya,,,null
Language,GIL,Gilbertese,,,null
Language,GLA,Gaelic; Scottish Gaelic,,,null
Language,GLE,Irish,,,null
Language,GLG,Galician,,,null
Language,GLV,Manx,,,null
Language,GON,Gondi,,,null
Language,GOR,Gorontalo,,,null
Language,GRB,Grebo,,,null
Language,GRN,Guarani,,,null
Language,GSW,Swiss German; Alemannic; Alsatian,,,null
Language,GUJ,Gujarati,,,null
Language,GWI,Gwichʼin,,,null
Language,HAI,Haida,,,null
Language,HAT,Haitian; Haitian Creole,44802876,Haitian Creole Language,null
Language,HAU,Hausa,,,null
Language,HAW,Hawaiian,,,null
Language,HEB,Hebrew,,,null
Language,HER,Herero,,,null
Language,HIL,Hiligaynon,,,null
Language,HIN,Hindi,,,null
Language,HMN,Hmong; Mong,,,null
Language,HMO,Hiri Motu,,,null
Language,HRV,Croatian,,,null
Language,HSB,Upper Sorbian,,,null
Language,HUN,Hungarian,,,null
Language,HUP,Hupa,,,null
Language,HYE,Armenian,,,null
Language,IBA,Iban,,,null
Language,IBO,Igbo,,,null
Language,III,Sichuan Yi; Nuosu,,,null
Language,IKU,Inuktitut,,,null
Language,ILO,Iloko,,,null
Language,IND,Indonesian,,,null
Language,INH,Ingush,,,null
Language,IPK,Inupiaq,,,null
Language,ISL,Icelandic,,,null
Language,ITA,Italian,,,null
Language,JAV,Javanese,,,null
Language,JPN,Japanese,4181524,Japanese Language,null
Language,JPR,Judeo-Persian,,,null
Language,JRB,Judeo-Arabic,,,null
Language,KAA,Kara-Kalpak,,,null
Language,KAB,Kabyle,,,null
Language,KAC,Kachin; Jingpho,,,null
Language,KAL,Kalaallisut; Greenlandic,,,null
Language,KAM,Kamba,,,null
Language,KAN,Kannada,,,null
Language,KAS,Kashmiri,,,null
Language,KAT,Georgian,,,null
Language,KAU,Kanuri,,,null
Language,KAZ,Kazakh,,,null
Language,KBD,Kabardian,,,null
Language,KHA,Khasi,,,null
Language,KHM,Central Khmer,,,null
Language,KIK,Kikuyu; Gikuyu,,,null
Language,KIN,Kinyarwanda,,,null
Language,KIR,Kirghiz; Kyrgyz,,,null
Language,KMB,Kimbundu,,,null
Language,KOK,Konkani,,,null
Language,KOM,Komi,,,null
Language,KON,Kongo,,,null
Language,KOR,Korean,4175771,Korean Language,null
Language,KOS,Kosraean,,,null
Language,KPE,Kpelle,,,null
Language,KRC,Karachay-Balkar,,,null
Language,KRL,Karelian,,,null
Language,KRU,Kurukh,,,null
Language,KUA,Kuanyama; Kwanyama,,,null
Language,KUM,Kumyk,,,null
Language,KUR,Kurdish,,,null
Language,KUT,Kutenai,,,null
Language,LAD,Ladino,,,null
Language,LAH,Lahnda,,,null
Language,LAM,Lamba,,,null
Language,LAO,Lao,,,null
Language,LAV,Latvian,,,null
Language,LEZ,Lezghian,,,null
Language,LIM,Limburgan; Limburger; Limburgish,,,null
Language,LIN,Lingala,,,null
Language,LIT,Lithuanian,,,null
Language,LOL,Mongo,,,null
Language,LOZ,Lozi,,,null
Language,LTZ,Luxembourgish; Letzeburgesch,,,null
Language,LUA,Luba-Lulua,,,null
Language,LUB,Luba-Katanga,,,null
