class,pcornet_code,pcornet_name,pedsnet_code,pedsnet_name,value_as_concept_id
Rx Dose Form,AUGMENTED_TOPICAL_CREAM,Augmented Topical Cream,19135438,Augmented Topical Cream,null
Rx Dose Form,AUGMENTED_TOPICAL_GEL,Augmented Topical Gel,19135446,Augmented Topical Gel,null
Rx Dose Form,AUGMENTED_TOPICAL_LOTION,Augmented Topical Lotion,19135439,Augmented Topical Lotion,null
Rx Dose Form,AUGMENTED_TOPICAL_OINTMENT,Augmented Topical Ointment,19135440,Augmented Topical Ointment,null
Rx Dose Form,BAR_SOAP,Bar Soap,19057400,Bar Soap,null
Rx Dose Form,BEADS,Beads,19082254,Beads,null
Rx Dose Form,BUCCAL_FILM,Buccal Film,40164192,Buccal Film,null
Rx Dose Form,BUCCAL_TABLET,Buccal Tablet,40175589,Buccal Tablet,null
Rx Dose Form,CAKE,Cake,19082628,Topical Cake,null
Rx Dose Form,CEMENT,Cement,19124967,Cement,null
Rx Dose Form,CHEWABLE_BAR,Chewable Bar,19082075,Chewable Bar,null
Rx Dose Form,CHEWABLE_TABLET,Chewable Tablet,19135866,Chewable Tablet,null
Rx Dose Form,CHEWING_GUM,Chewing Gum,19102296,Chewing Gum,null
Rx Dose Form,CRYSTALS,Crystals,19111148,Oral Crystals,null
Rx Dose Form,DISINTEGRATING_TABLET,Disintegrating Tablet,19082076,Disintegrating Oral Tablet,null
Rx Dose Form,DISK,Disk,19082630,Disk,null
Rx Dose Form,DOUCHE,Douche,19112648,Douche,null
Rx Dose Form,DRUG_IMPLANT,Drug Implant,19124968,Drug Implant,null
Rx Dose Form,DRY_POWDER_INHALER,Dry Powder Inhaler,19127579,Dry Powder Inhaler,null
Rx Dose Form,ENEMA,Enema(Rectal Solution; Rectal Suspension),19082627,Enema,null
Rx Dose Form,ENTERIC_COATED_CAPSULE,Enteric Coated Capsule,,,null
Rx Dose Form,ENTERIC_COATED_TABLET,Enteric Coated Tablet,,,null
Rx Dose Form,EXTENDED_RELEASE_CAPSULE,Extended Release Capsule,19082077,Extended Release Oral Capsule,null
