source_concept_class,target_concept,pcornet_name,source_concept_id,concept_description,value_as_concept_id
Specimen concept,,,764635,Sand specimen,
Specimen concept,CVX_VAG,,4325521,"Combined specimen of cytologic material from endocervix, ectocervix, and vaginal fornix",
Specimen concept,,,40479555,Blood specimen with anticoagulant,
Specimen concept,,,4245356,Specimen from liver obtained by extended right lobectomy,
Specimen concept,,,43531143,Specimen from upper gastrointestinal tract,
Specimen concept,,,4202976,Hysterectomy sample,
Specimen concept,URINE,,4045670,"Blood bag specimen, from patient",
Specimen concept,,,40489806,Bile specimen from gall bladder,
Specimen concept,TISSUE,,4183746,Tissue specimen obtained from gallbladder by biopsy,
Specimen concept,BLD,,4105828,Red blood cell fluid sample,
Specimen concept,TISSUE,,45766337,Tissue specimen from nodule,
Specimen concept,,,46270190,Specimen from deep wound,
Specimen concept,,,764439,Swab from knee region,
Specimen concept,BODY_FLD,,4164325,Specimen from extrahepatic bile duct,
Specimen concept,,,46270242,Specimen from left upper lobe of lung obtained by endobronchial biopsy,
Specimen concept,,,4202452,Specimen from lower limb obtained by biopsy,
Specimen concept,TISSUE,,4206411,Oral tissue sample,
Specimen concept,,,4004342,Urinary bladder cytologic material,
Specimen concept,,,4007918,Accessory sinus cytologic material,
Specimen concept,,,43531153,Specimen from nervous system,
Specimen concept,,,4007439,Submaxillary gland cytologic material,
Specimen concept,,,4124273,Swab of drain insertion site,
Specimen concept,,,40489360,Specimen from abscess of brain,
Specimen concept,,,4002870,Cannula specimen,
Specimen concept,,,4202612,Skin lesion sample,
Specimen concept,,,4122272,Vegetation from native heart valve,
Specimen concept,TISSUE,,40490357,Specimen from granulation tissue,
Specimen concept,,,43021118,Swab from chest tube insertion site,
Specimen concept,URINE,,4001347,Blood bag specimen,
Specimen concept,,,4206305,Pleura biopsy sample,
Specimen concept,,,4202780,Cholecystectomy sample,
Specimen concept,BODY_FLD,,4204354,Ovarian fluid sample,
Specimen concept,CVX_VAG,,4048850,Genital lochia specimen,
Specimen concept,,,4046276,Blood specimen from control,
Specimen concept,,,44808104,Specimen obtained by endoscopic biopsy,
Specimen concept,BODY_FLD,,4120341,Renal pelvis fluid sample,
Specimen concept,SER,,4119534,Acidified serum sample,
Specimen concept,,,46270225,Ascending colon biopsy sample,
Specimen concept,URINE,,40487361,Urine specimen obtained from urinary collection bag,
Specimen concept,,,4002883,Macrophage specimen,
Specimen concept,TISSUE,,4161146,Tissue specimen from ureter,
Specimen concept,,,46270195,Specimen from axilla structure obtained by fine needle aspiration biopsy,
Specimen concept,,,4045667,Venous blood specimen,
Specimen concept,SER,,4001181,Serum specimen,
Specimen concept,,,4246700,Specimen from breast obtained by excision,
Specimen concept,,,4120346,Urethral swab,
Specimen concept,TISSUE,,40489828,Tissue specimen from amniotic membrane,
Specimen concept,,,4057744,Nasal fluid sample,
Specimen concept,,,43021113,Swab from hip region,
Specimen concept,TISSUE,,37117835,Tissue specimen from aorta,
Specimen concept,,,4206437,Fallopian tube biopsy sample,
Specimen concept,,,43021114,Swab from hand,
Specimen concept,,,43021077,Swab from testicle,
Specimen concept,,,764437,Swab from eyelid,
Specimen concept,,,4048970,Specimen from esophagus obtained by esophageal resection,
Specimen concept,,,765681,Swab from scalp,
Specimen concept,PLAS,,42537788,Pooled platelet poor plasma specimen,
Specimen concept,,,4046949,Specimen from ovary obtained by hysterectomy with salpingo-oophorectomy,
Specimen concept,,,4332254,Specimen from mesentery obtained by biopsy,
Specimen concept,,,46270184,Uterine cervix cyst sample,
Specimen concept,,,763054,Scab specimen,
Specimen concept,,,42535847,Specimen from mass of anterior mediastinum,
Specimen concept,,,4048976,Specimen from ampulla of Vater obtained by incisional biopsy,
Specimen concept,,,4001186,Specimen from prostate,
Specimen concept,,,4000617,Pus specimen,
Specimen concept,BLD,,4001225,Blood specimen,
Specimen concept,BODY_FLD,,40488874,Prostatic fluid specimen obtained for Stamey test,
Specimen concept,,,4122255,Fistula fluid sample,
Specimen concept,,,43021142,Contact lens case submitted as specimen,
Specimen concept,TISSUE,,4183915,Tissue specimen obtained for Hodgkin's disease by biopsy,
Specimen concept,,,45919902,Sputum,
Specimen concept,,,46270270,Hilum of lung specimen obtained by fine needle aspiration procedure,
Specimen concept,BLD,,4046368,Acellular blood (serum or plasma) specimen,
Specimen concept,,,44807991,ETA - endotracheal aspirate,
Specimen concept,CVX_VAG,,4263285,Specimen from thymus gland obtained by transcervical thymectomy,
Specimen concept,,,40487361,Urine specimen obtained from urinary collection bag,
Specimen concept,CVX_VAG,,46270274,Endocervical aspirate,
Specimen concept,,,4120351,Oral saliva sample,
Specimen concept,,,4023411,"Fine needle aspirate of thyroid, cytologic material",
Specimen concept,,,4162055,Specimen from skin obtained by fine needle aspiration biopsy,
Specimen concept,URINE,,4120346,Urethral swab,
Specimen concept,,,4124409,Arterial cannula tip,
Specimen concept,,,42535898,Specimen from ear obtained by aspiration,
Specimen concept,,,37117835,Tissue specimen from aorta,
