source_concept_class,target_concept,pcornet_name,source_concept_id,concept_description,value_as_concept_id
Result unit,min,minute,8550,minute,null
Result unit,%,percent,8554,percent,null
Result unit,[APL'U]/mL,IgA anticardiolipin unit per milliliter**,9684,IgA Phospholipid Units Per MilliLiter [Arbitrary Concentration Units],null
Result unit,[arb'U],arbitrary unit,9260,arbitrary unit,null
Result unit,[arb'U]/mL,arbitrary unit per milliliter,8980,arbitrary unit per milliliter,null
Result unit,[GPL'U]/mL,IgG anticardiolipin unit per milliliter**,9685,IgG Phospholipid Units Per MilliLiter [Arbitrary Concentration Units],null
Result unit,[IU]/L,international unit per liter,8923,international unit per liter,null
Result unit,[IU]/mL,international unit per milliliter,8985,international unit per milliliter,null
Result unit,[lb_av],pound (US and British),8739,pound (US),null
Result unit,[MPL'U]/mL,IgM anticardiolipin unit per milliliter**,9686,IgM Phospholipid Units Per MilliLiter [Arbitrary Concentration Units],null
Result unit,[pH],pH,8482,pH,null
Result unit,{#},number,,,null
Result unit,{#}/[HPF],number per high power field,8786,per high power field,null
Result unit,{#}/L,number per liter,9254,per liter,null
Result unit,{#}/mL,number per milliliter,9257,per milliliter,null
Result unit,{#}/uL,number per microliter,8647,per microliter,null
Result unit,{APS'U},IgA antiphosphatidylserine unit,8542,anti-phosphatidylserine IgA concentration (APS) unit,null
Result unit,{clock_time},clock time e.g 12:30PM,,,null
Result unit,{copies},copies,,,null
Result unit,{copies}/mL,copies per milliliter,8799,copies per milliliter,null
Result unit,{INR},international normalized ratio,,,null
Result unit,{Log_copies}/mL,log (base 10) copies per milliliter,8873,log copies per milliliter,null
Result unit,{MPS'U},IgM antiphosphatidylserine unit,8495,anti-phosphatidylserine IgM concentration (MPS) unit,null
Result unit,{ratio},ratio,8523,ratio,null
Result unit,{titer},titer,8525,titer,null
Result unit,10*3/uL,thousand per microliter,8848,thousand per microliter,null
Result unit,10*6/L,million per liter,9442,million per liter,null
Result unit,10*6/mL,million per milliliter,8816,million per milliliter,null
Result unit,10*6/uL,million per microliter,8815,million per microliter,null
Result unit,A,ampere,8543,ampere,null
Result unit,a,year,8528,year,null
Result unit,Cel,degree Celsius,8653,degree Celsius,null
Result unit,d,day,8512,day,null
Result unit,fL,femtoliter,8583,femtoliter,null
Result unit,g,gram,8504,gram,null
Result unit,g/(24.h),gram per 24 hour,8807,gram per 24 hours,null
Result unit,g/dL,gram per deciliter,8713,gram per deciliter,null
Result unit,g/L,gram per liter,8636,gram per liter,null
Result unit,H,Henry,8518,Henry,null
Result unit,h,hour,8505,hour,null
Result unit,k[IU]/L,kilo international unit per liter,9058,kilo-international unit per liter,null
Result unit,k[IU]/mL,kilo international unit per milliliter,9525,kilo-international unit per milliliter,null
Result unit,kg,kilogram,9529,kilogram,null
Result unit,L,liter,8519,liter,null
Result unit,L/min,liter per minute,8698,liter per minute,null
Result unit,m[IU]/L,milli international unit per liter,9040,milli-international unit per liter,null
Result unit,m[IU]/mL,milli  international unit per milliliter,9550,milli-international unit per milliliter,null
Result unit,m2,square meter,8617,square meter,null
Result unit,mg,milligram,8576,milligram,null
Result unit,mg/(24.h),milligram per 24 hour,8909,milligram per 24 hours,null
Result unit,mg/dL,milligram per deciliter,8840,milligram per deciliter,null
Result unit,mg/g,milligram per gram,8723,milligram per gram,null
Result unit,mg/g{creat},milligram per gram of creatinine,9017,milligram per gram of creatinine,null
Result unit,mg/L,milligram per liter,8751,milligram per liter,null
Result unit,mL,milliliter,8587,milliliter,null
Result unit,mL/min,milliliter per minute,8795,milliliter per minute,null
Result unit,mm/h,millimeter per hour,8752,millimeter per hour,null
Result unit,mm[Hg],millimeter of mercury,8876,millimeter mercury column,null
Result unit,mmol/(24.h),millimole per 24 hour,8910,millimole per 24 hours,null
Result unit,mmol/L,millimole per liter,8753,millimole per liter,null
Result unit,mol/L,mole per liter,9586,mole per liter,null
Result unit,mosm/kg,milliosmole per kilogram,8862,milliosmole per kilogram,null
Result unit,mU/L,milli enzyme unit per liter,,,null
Result unit,mU/mL,milli  enzyme unit per milliliter,,,null
Result unit,ng/dL,nanogram per deciliter,8817,nanogram per deciliter,null
Result unit,ng/L,nanogram per liter,8725,nanogram per liter,null
Result unit,ng/mL,nanogram per millliiter,8842,nanogram per milliliter,null
Result unit,ng/mL/h,nanogram per milliliter per hour,9020,nanogram per milliliter and hour,null
Result unit,nmol/L,nanomole per liter,8736,nanomole per liter,null
Result unit,nmol/mL,nanomole per milliliter,8843,nanomole per milliliter,null
Result unit,nmol/mL/min,nanomole per milliliter per minute,44777635,nanomole per minute and milliliter,null
Result unit,pg,picogram,8564,picogram,null
Result unit,pg/L,picogram per liter,9625,picogram per liter,null
Result unit,pg/mL,picogram per milliliter,9626,picogram per millimeter,null
Result unit,S,Siemens,9639,siemens,null
Result unit,s,second,8555,second,null
Result unit,U/dL,enzyme unit per deciliter,,,null
Result unit,U/g{Hb},enzyme unit per gram of hemoglobin,,,null
Result unit,U/L,enzyme unit per liter,,,null
Result unit,U/mL,enzyme unit per milliliter,,,null
Result unit,u[IU]/mL,micro international unit per milliliter,9093,micro-international unit per milliliter,null
Result unit,ug/(24.h),microgram per 24 hour,8906,microgram per 24 hours,null
Result unit,ug/dL,microgram per deciliter,8837,microgram per deciliter,null
Result unit,ug/L,microgram per liter,8748,microgram per liter,null
Result unit,ug/mL,microgram per milliliter,8859,microgram per milliliter,null
Result unit,um/s,microns per second,,,null
Result unit,umol/(24.h),micromole per 24 hour,8907,micromole per 24 hours,null
Result unit,umol/L,micromole per liter,8749,micromole per liter,null
Result unit,wk,week,8511,week,null
Result unit,NI,No information,44814650,No information,null
Result unit,UN,Unknown,44814653,Unknown,null
Result unit,OT,Other,0,No matching concept,null
Result unit,OT,Other,44814649,Other,null
Result unit,[U],,8510,unit,
Result unit,%{tot},,8632,percent total,
Result unit,[U]/L,,8645,unit per liter,
Result unit,[U]/mL,,8763,unit per milliliter,
Result unit,ug/min,,8774,microgram per minute,
Result unit,{cells}/uL,,8784,cells per microliter,
Result unit,/mm3,,8785,per cubic millimeter,
Result unit,10*3.[U]/L,,8810,kilounit per liter,
Result unit,pg/mL,,8845,picogram per milliliter,
Result unit,10*6/mm3,,8931,million per cubic millimeter,
Result unit,10*3/mm3,,8961,thousand per cubic millimeter,
Result unit,ug/g{creat},,9014,microgram per gram of creatinine,
Result unit,/100.{WBC},,9032,per 100 white blood cells,
Result unit,ug/mg{creat},,9072,microgram per milligram of creatinine,
Result unit,{cells},,45744812,cells,
Result unit,meq/L,,meq/L,milliequivalent per liter,
Result unit,K/mm3,,8903,Kelvin per cubic millimeter,
Result unit,m/mm3,,8891,Meter per cubic millimeter,
Result unit,mm,,8588,millimeter,
Result unit,mosm,,8605,milliosmole,
Result unit,F,,8517,Farad,
Result unit,nm,,8577,nanometer,
Result unit,ug/g,,8720,microgram per gram,
Result unit,pmol/L,,8729,picomole per liter,
Result unit,/[LPF],,8765,per low powered field,
Result unit,10*-6.[U]/mL,,8860,microunit per milliliter,
Result unit,mg/mL,,8861,milligram per milliliter,
Result unit,{cells}/[HPF],,8889,cells per high power field,
Result unit,ug{FEU}/mL,,8989,microgram of fibrinogen equivalent unit per milliliter,
Result unit,umol/g{creat},,9015,micromole per gram of creatinine,
Result unit,mmol/mol{creat},,9019,millimole per mole of creatinine,
Result unit,mg/mg{creat},,9074,milligram per milligram of creatinine,
Result unit,t,,9647,tonne,
Result unit,uL,,9665,microliter,
Result unit,umol/mol{creat},,9675,micromole per mole of creatinine,
Result unit,[GPL'U],,9100,IgG phospholipid unit,
Result unit,[MPL'U],,9101,IgM phospholipid unit,
Result unit,[beth'U],,9161,Bethesda unit,
