observation_source_value,count,condition_concept_id,condition_concept_name,concept_code,vocabulary_id,pcornet_condition_type
well child,388335,1575983,Encounter for routine child health examination,Z00.12,ICD10CM,10
fever,337758,35211387,"Fever, unspecified",R50.9,ICD10CM,10
cough,308523,35211275,Cough,R05,ICD10CM,10
cold symptoms,127851,35207921,Acute nasopharyngitis [common cold],J00,ICD10CM,10
other,118011,1572268,Other general symptoms and signs,R68,ICD10CM,10
derm problem,116651,4183958,Skin problem,297982009,SNOMED,SM
WELL CHILD CARE|122,114483,1575983,Encounter for routine child health examination,Z00.12,ICD10CM,10
ear problem,113789,4114472,Ear problem,300197009,SNOMED,SM
sore throat,113502,35207924,"Acute pharyngitis, unspecified",J02.9,ICD10CM,10
congestion,111782,45602003,Nasal congestion,R09.81,ICD10CM,10
vomiting,100159,45534430,Vomiting,R11.1,ICD10CM,10
COUGH|28,97931,35211275,Cough,R05,ICD10CM,10
FEVER|47,90873,35211387,"Fever, unspecified",R50.9,ICD10CM,10
follow up,69171,35225060,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Z09,ICD10CM,10
FOLLOW-UP|133,65327,35225060,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Z09,ICD10CM,10
recheck,64381,35225060,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Z09,ICD10CM,10
eye problem,63913,40267711,Eye problem,103267008,SNOMED,SM
diarrhea,61124,45534435,"Diarrhea, unspecified",R19.7,ICD10CM,10
update,60172,35225060,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Z09,ICD10CM,10
flu vaccine,58943,35225097,Encounter for immunization,Z23,ICD10CM,10
abdominal pain,52135,200219,Abdominal pain,21522001,SNOMED,SM
earache,48777,45552764,"Otalgia, unspecified ear",H92.09,ICD10CM,10
imm/inj,43646,35225097,Encounter for immunization,Z23,ICD10CM,10
headache,42734,35211388,Headache,R51,ICD10CM,10
new patient visit,42709,1575983,Encounter for routine child health examination,Z00.12,ICD10CM,10
respiratory distress,38145,1326788,Acute respiratory distress,R06.03,ICD10CM,10
pt follow-up,36255,35225060,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,Z09,ICD10CM,10
rash,34177,35211309,Rash and other nonspecific skin eruption,R21,ICD10CM,10
asthma,33704,1569488,Asthma,J45,ICD10CM,10
newborn,33191,1575982,"Encounter for newborn, infant and child health examinations",Z00.1,ICD10CM,10
runny nose,33107,40326995,Nasal discharge,162381008,SNOMED,SM
NASAL CONGESTION|144,31794,45602003,Nasal congestion,R09.81,ICD10CM,10
VOMITING|120,30481,45534430,Vomiting,R11.1,ICD10CM,10
