PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
immunizationid,PEDSnet,immunization,imm,immunization_id,,
patid,PEDSnet,immunization,imm,person_id,,
encounterid,PEDSnet,immunization,imm,visit_occurrence_id,,
procedureid,PEDSnet,immunization,imm,procedure_occurrence_id,,
vx_provider,PEDSnet,immunization,imm,provider_id,,
vx_record_date,PEDSnet,immunization,imm,imm_recorded_date,,
vx_admin_date,PEDSnet,immunization,imm,immunization_date,,
vx_code_type,PEDSnet,immunization,imm,immunization_concept_id,vocabulary | pedsnet_pcornet_valueset_map,concept_id = immunization_concept_id | vocabulary_id = source_concept_id and source_concept_class = immunization_type
vx_code,PEDSnet,immunization,imm,"immunization_concept_id, immunization_source_value",,
vx_status,PEDSnet,immunization,imm,,,defaulted to 'CP'
vx_status_reason,PEDSnet,immunization,imm,,,
vx_source,PEDSnet,immunization,imm,immunization_type_concept_id,,
vx_dose,PEDSnet,immunization,imm,immunization_dose,,
vx_dose_unit,PEDSnet,immunization,imm,imm_dose_unit_concept_id,,
vx_route,PEDSnet,immunization,imm,imm_route_concept_id,,
vx_body_site,PEDSnet,immunization,imm,imm_body_site_concept_id,,
vx_manufacturer,PEDSnet,immunization,imm,imm_manufacturer,,
vx_lot_num,PEDSnet,immunization,imm,imm_lot_num,,
vx_exp_date,PEDSnet,immunization,imm,imm_exp_date,,
raw_vx_name,PEDSnet,immunization,imm,immunization_concept_id,,
raw_vx_code,PEDSnet,immunization,imm,immunization_concept_id,,
raw_vx_code_type,PEDSnet,immunization,imm,immunization_concept_id,,
raw_vx_dose,PEDSnet,immunization,imm,immunization_dose,,
raw_vx_dose_unit,PEDSnet,immunization,imm,imm_dose_source_value,,
raw_vx_route,PEDSnet,immunization,imm,imm_route_source_value,,
raw_vx_body_site,PEDSnet,immunization,imm,imm_body_site_source_value,,
raw_vx_status,PEDSnet,immunization,imm,CP',,
raw_vx_status_reason,PEDSnet,immunization,imm,,,
site,PEDSnet,immunization,imm,Site,,
