PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
abn_ind,,,,hardcode as NULL,,
encounterid,PEDSnet,measurement,M,visit_occurrence_id,,
lab_loinc,PEDSnet,measurement,M,measurement_concept_id,,
lab_order_date,PEDSnet,measurement,M,measurement_order_date,,
lab_px,,,,hardcode as  NULL,,
lab_px_type,,,,hardcode as  NULL,,
lab_result_cm_id,PEDSnet,measurement,M,measurement_id,,measurement_type_Concept_id = 44818702
norm_modifier_high,PEDSnet,measurement,M,range_high_operator_concept_id,,
norm_modifier_low,PEDSnet,measurement,M,range_low_operator_concept_id,,
norm_range_high,PEDSnet,measurement,M,range_high,,
norm_range_low,PEDSnet,measurement,M,range_low,,
patid,PEDSnet,measurement,M,person_id,,
priority,PEDSnet,measurement,M,priority_concept_id,,
raw_facility_code,,,,hardcode as NULL,,
raw_lab_code,PEDSnet,measurement,M,measurement_source_value,,
raw_lab_name,PEDSnet,measurement,M,measurement_concept_id,,
raw_order_dept,,,,hardcode as NULL,,
raw_panel,,,,hardcode as NULL,,
raw_result,PEDSnet,measurement,M,value_as_number,,
raw_unit,PEDSnet,measurement,M,unit_source_value,,
result_date,PEDSnet,measurement,M,measurement_result_date,,
result_loc,PEDSnet,measurement,M,measurement_source_value,,
result_modifier,PEDSnet,measurement,M,operator_concept_id,,
result_num,PEDSnet,measurement,M,value_as_number,,
result_qual,,,,hardcode as NULL,,
result_snomed,,,,hardcode as NULL,,
result_time,PEDSnet,measurement,M,measurement_result_time,,
result_unit,PEDSnet,measurement,M,unit_concept_id,,
specimen_date,PEDSnet,measurement,M,measurement_date,,
specimen_source,PEDSnet,measurement,M,specimen_source_value,,
specimen_time,PEDSnet,measurement,M,measurement_time,,
site,PEDSnet,measurement,M,site,,
