PCORnet_field,Source_CDM,Source_table,Source_table_alias,Source_field,join condition,extraction condition
vitalid,Custom,Sequence,S,sequence_num,,
patid,PEDSnet,measurement,M,person_id,,"person having any ht, wt, bp, bmi, or smoking related measurements in measurement table"
encounterid,PEDSnet,measurement,M,visit_occurrence_id,,
measure_date,PEDSnet,measurement,M,measurement_date,,
measure_time,PEDSnet,measurement,M,measurement_time,,
vital_source,,,,,,defaulting to 'HC'
ht,PEDSnet,measurement,M_HT,value_as_number,M.measurement_time = M_HT.measurement_time,measurement_concept_id = '3023540'
wt,PEDSnet,measurement,M_WT,value_as_number,M.measurement_time = M_WT.measurement_time,measurement_concept_id = '3013762'
systolic,PEDSnet,measurement,M_SYS,value_as_number,M.measurement_time = M_SYS.measurement_time,"measurement_concept_id in ('3018586','3035856','3009395','3004249')"
diastolic,PEDSnet,measurement,M_DIA,value_as_number,M.measurement_time = M_DIA.measurement_time,"measurement_concept_id in ('3034703','3019962','3013940','3012888')"
original_bmi,PEDSnet,measurement,M_BMI,value_as_number,M.measurement_time = M_BMI.measurement_time,measurement_concept_id = '3038553'
bp_position,PEDSnet,measurement,M_SYS,measurement_concept_id,,
tobacco,PEDSnet,observation,O1,value_as_concept_id,M.visit_occurrence_id = O1.visit_occurrence_id,observation_concept_id IN ('4005823')
tobacco_type,PEDSnet,observation,O2,value_as_concept_id,JOIN with O1 using fact_relationship,observation_concept_id IN ('4219336')
smoking,PEDSnet,observation,O3,value_as_concept_id,JOIN with O1 using fact_relationship,observation_concept_id IN ('4275495')
raw_diastolic,PEDSnet,measurement,M_DIA,measurement_source_value,,
raw_systolic,PEDSnet,measurement,M_SYS,measurement_source_value,,
raw_bp_position,,,,,,hardcode to NULL
raw_smoking,,,,,,hardcode to NULL
raw_tobacco,,,,,,hardcode to NULL
raw_tobacco_type,,,,,,hardcode to NULL
